MGI:1276102	MP:0006093
MGI:2442987	HP:0001258
MGI:2147183	MP:0003674
MGI:1346049	MP:0010714
MGI:2141505	MP:0010296
MGI:1925638	HP:0011659
MGI:1916267	HP:0007166
MGI:2675377	MP:0009443
MGI:2442535	MP:0005604
MGI:1914816	HP:0012125
MGI:1321159	HP:0006528
MGI:2429764	MP:0002985
MGI:107852	HP:0011877
MGI:87886	MP:0005068
MGI:2145317	MP:0009220
MGI:1261813	MP:0006290
MGI:2657115	HP:0012192
MGI:2444981	MP:0008912
MGI:1921798	HP:0011868
MGI:1338022	HP:0000992
MGI:2138243	HP:0002099
MGI:109339	MP:0010394
MGI:2685307	HP:0009733
MGI:1921819	MP:0002766
MGI:1926232	HP:0002145
MGI:1913679	HP:0001385
MGI:1933174	MP:0008911
MGI:1918667	HP:0002861
MGI:94880	HP:0001788
MGI:105304	HP:0004382
MGI:1917823	HP:0007703
MGI:1334257	MP:0010363
MGI:1298406	HP:0009728
MGI:98327	HP:0100689
MGI:97631	HP:0030175
MGI:1916913	HP:0001595
MGI:1196627	HP:0010553
MGI:99894	MP:0009151
MGI:1919765	MP:0009563
MGI:1920345	HP:0000252
MGI:2447166	MP:0010595
MGI:97443	MP:0002873
MGI:2685570	HP:0001344
MGI:107717	MP:0002586
MGI:2140967	MP:0001411
MGI:1919140	MP:0003204
MGI:2384789	MP:0008913
MGI:2683592	MP:0001194
MGI:3040968	HP:0001997
MGI:95655	HP:0005104
MGI:103579	MP:0009482
MGI:1935173	HP:0012782
MGI:2672966	HP:0100754
MGI:1860835	HP:0005550
MGI:1927167	HP:0001249
MGI:88476	HP:0200032
MGI:2685107	MP:0002169
MGI:109584	HP:0001845
MGI:106299	HP:0007380
MGI:2448413	HP:0100853
MGI:1270845	MP:0002683
MGI:1926228	HP:0000789
MGI:2429498	HP:0003126
MGI:107926	MP:0001302
MGI:2385152	HP:0012448
MGI:2443671	HP:0000995
MGI:1917849	MP:0020085
MGI:1913654	MP:0011317
MGI:2136735	MP:0002061
MGI:108392	HP:0007618
MGI:3043083	MP:0008572
MGI:3712328	HP:0005352
MGI:104518	HP:0001137
MGI:1926134	MP:0011176
MGI:1923434	HP:0004808
MGI:1201780	MP:0000798
MGI:95836	MP:0013189
MGI:2178801	MP:0003707
MGI:2652132	MP:0005602
MGI:2388804	HP:0012058
MGI:2179202	HP:0012207
MGI:2181667	HP:0002236
MGI:1918395	HP:0012120
MGI:1891830	HP:0001030
MGI:107769	MP:0002006
MGI:2443011	HP:0040169
MGI:1919122	MP:0001402
MGI:1919386	HP:0001181
MGI:109165	MP:0011317
MGI:700012	MP:0004007
MGI:96396	HP:0000255
MGI:2442168	HP:0000969
MGI:2681278	MP:0003227
MGI:97523	HP:0001394
MGI:3779933	HP:0002667
MGI:1917853	HP:0030255
MGI:1095734	MP:0011804
MGI:1919410	HP:0000855
MGI:1915921	HP:0002155
MGI:2442512	MP:0001399
MGI:2442633	HP:0001945
MGI:2138563	MP:0001889
MGI:107471	HP:0100026
MGI:1891731	HP:0011282
MGI:1913697	MP:0003674
MGI:1925571	MP:0005291
MGI:1914007	MP:0001260
MGI:2652840	MP:0008770
MGI:1915350	MP:0009668
MGI:1914730	MP:0011176
MGI:1913737	MP:0008716
MGI:1891307	MP:0008762
MGI:103076	MP:0012336
MGI:104785	HP:0008198
MGI:97306	HP:0012316
MGI:107374	HP:0010867
MGI:1925666	HP:0012330
MGI:2147199	MP:0011810
MGI:1919752	HP:0002464
MGI:1919540	MP:0010297
MGI:1344364	HP:0100243
MGI:3057189	HP:0002583
MGI:88158	HP:0011988
MGI:88360	MP:0003036
MGI:2444509	HP:0010978
MGI:3583944	MP:0000938
MGI:107159	HP:0008527
MGI:104803	HP:0100693
MGI:894649	HP:0100003
MGI:2448476	MP:0002169
MGI:2685373	HP:0001944
MGI:1919335	HP:0100615
MGI:2443143	HP:0003003
MGI:104689	HP:0000311
MGI:1924210	MP:0001406
MGI:1913415	HP:0002275
MGI:2441996	MP:0002169
MGI:1930136	MP:0004684
MGI:2137431	MP:0003760
MGI:96205	MP:0004083
MGI:101764	HP:0010864
MGI:2136730	HP:0030067
MGI:1890127	HP:0000565
MGI:1913672	MP:0008877
MGI:1923291	MP:0004157
MGI:2681271	HP:0004379
MGI:1859852	MP:0008884
MGI:1919007	MP:0002169
MGI:108052	MP:0001152
MGI:1933159	HP:0003765
MGI:1924287	HP:0010512
MGI:97424	MP:0001922
MGI:1341834	HP:0007302
MGI:98330	MP:0006204
MGI:1195268	HP:0007263
MGI:1096376	MP:0001730
MGI:2681210	MP:0009153
MGI:1914649	MP:0005607
MGI:1890220	HP:0000722
MGI:107899	MP:0002680
MGI:1913892	MP:0006087
MGI:1928097	MP:0001654
MGI:2150010	HP:0001297
MGI:96968	MP:0002068
MGI:102666	HP:0030407
MGI:1349467	HP:0002326
MGI:2146616	MP:0001168
MGI:2673307	HP:0006279
MGI:1914944	HP:0010522
MGI:1924108	HP:0100617
MGI:109384	MP:0003124
MGI:96770	MP:0000381
MGI:2446259	MP:0011013
MGI:106644	MP:0001394
MGI:1915333	HP:0000175
MGI:1922248	MP:0013027
MGI:2148800	HP:0007875
MGI:1915390	HP:0001300
MGI:104644	HP:0200035
MGI:107329	MP:0001625
MGI:2146005	MP:0008782
MGI:2448063	MP:0005140
MGI:95630	MP:0005309
MGI:1913730	MP:0012400
MGI:1915868	MP:0013027
MGI:1889817	HP:0040215
MGI:1926341	HP:0030357
MGI:1930666	MP:0013027
MGI:3705243	MP:0001625
MGI:1926004	MP:0000938
MGI:1913564	HP:0012174
MGI:109279	HP:0100541
MGI:1921565	MP:0009220
MGI:2153340	MP:0002628
MGI:1918842	HP:0001881
MGI:1914959	HP:0006723
MGI:2445154	MP:0003171
MGI:1289308	HP:0100584
MGI:99662	HP:0001025
MGI:1921718	HP:0100796
MGI:1914248	MP:0013806
MGI:1329021	MP:0013236
MGI:2681846	HP:0007302
MGI:1915336	MP:0002196
MGI:104640	MP:0003667
MGI:1923750	MP:0006043
MGI:1344336	HP:0030410
MGI:1346858	MP:0010079
MGI:1915838	MP:0010896
MGI:1926097	HP:0012076
MGI:2385115	HP:0012743
MGI:1915571	HP:0002573
MGI:109202	HP:0001138
MGI:2142888	HP:0006770
MGI:1859709	MP:0002708
MGI:101900	MP:0004505
MGI:1330860	HP:0009025
MGI:2144284	HP:0004808
MGI:1923733	HP:0012238
MGI:88342	MP:0001179
MGI:1347073	HP:0006703
MGI:2443337	HP:0008542
MGI:1925726	HP:0007302
MGI:2652819	HP:0002896
MGI:1924151	MP:0008913
MGI:1277223	MP:0001516
MGI:893591	MP:0008279
MGI:2685552	HP:0100273
MGI:2443310	MP:0001399
MGI:95304	MP:0010594
MGI:1915349	HP:0030358
MGI:1914103	MP:0011589
MGI:1933180	MP:0002169
MGI:1915757	MP:0005039
MGI:2444934	MP:0003600
MGI:107411	HP:0006721
MGI:95692	MP:0009444
MGI:1920334	HP:0000709
MGI:2385847	MP:0008059
MGI:1354692	HP:0004445
MGI:1336171	MP:0011804
MGI:1916111	HP:0011994
MGI:1924750	MP:0009732
MGI:102718	HP:0000557
MGI:1352490	MP:0002169
MGI:105940	HP:0006785
MGI:1914347	HP:0007380
MGI:1859608	HP:0001249
MGI:1889272	MP:0001529
MGI:1914982	MP:0002628
MGI:1930171	MP:0008279
MGI:1919139	MP:0008717
MGI:1919079	MP:0001429
MGI:1352500	HP:0011094
MGI:97829	MP:0002714
MGI:1925226	MP:0014068
MGI:2145269	HP:0001640
MGI:2145995	HP:0000175
MGI:88568	HP:0000029
MGI:1335092	MP:0006173
MGI:2686209	HP:0100737
MGI:97860	HP:0001052
MGI:103555	MP:0010633
MGI:1349399	MP:0002316
MGI:1929628	HP:0002497
MGI:2444680	HP:0030357
MGI:2652846	MP:0005604
MGI:87997	HP:0100802
MGI:107932	HP:0004490
MGI:1919805	MP:0002920
MGI:101875	HP:0001971
MGI:1342771	HP:0004804
MGI:1930813	MP:0003600
MGI:97008	HP:0100962
MGI:2183260	HP:0005505
MGI:1921086	HP:0002762
MGI:2685114	MP:0001921
MGI:109272	HP:0002571
MGI:98743	HP:0002930
MGI:1316660	HP:0002121
MGI:1914207	HP:0002890
MGI:108429	MP:0014162
MGI:3605620	HP:0003651
MGI:1339975	MP:0012421
MGI:2384919	HP:0012793
MGI:1915387	MP:0005016
MGI:97517	HP:0001131
MGI:97555	HP:0100540
MGI:1913838	HP:0001727
MGI:2449316	HP:0000453
MGI:2385891	MP:0009219
MGI:1277176	HP:0002861
MGI:1341803	MP:0009404
MGI:1929464	MP:0008011
MGI:1923757	MP:0009219
MGI:2451244	HP:0001287
MGI:1930270	MP:0008912
MGI:1924058	HP:0100753
MGI:2681195	MP:0010425
MGI:1920428	HP:0006882
MGI:2443697	HP:0008222
MGI:1915106	HP:0012249
MGI:1914696	HP:0000558
MGI:1913606	MP:0002628
MGI:3041196	MP:0011317
MGI:1932339	HP:0005505
MGI:1921364	HP:0011999
MGI:2445210	MP:0009560
MGI:2653243	HP:0100790
MGI:3036255	HP:0000540
MGI:107177	HP:0000807
MGI:3027157	HP:0004841
MGI:1913604	MP:0001683
MGI:2682952	MP:0012550
MGI:1336974	MP:0001732
MGI:1926163	MP:0010037
MGI:1201403	HP:0001488
MGI:104912	HP:0002138
MGI:2138133	MP:0009508
MGI:1914523	HP:0004490
MGI:109473	HP:0002921
MGI:1918771	HP:0012331
MGI:2683536	MP:0010301
MGI:95294	HP:0001818
MGI:2182472	HP:0100031
MGI:2138162	MP:0002425
MGI:1928397	HP:0012126
MGI:1919417	MP:0006086
MGI:98279	MP:0009068
MGI:1913946	HP:0002861
MGI:2442418	HP:0000568
MGI:2447586	MP:0012090
MGI:2138391	MP:0006283
MGI:1202397	MP:0003718
MGI:1929093	HP:0008358
MGI:1914916	MP:0001399
MGI:1918605	HP:0002206
MGI:2384495	HP:0006733
MGI:1334448	HP:0000252
MGI:2443267	MP:0010425
MGI:3611448	MP:0004876
MGI:109442	HP:0010958
MGI:105072	HP:0200063
MGI:1101778	MP:0011179
MGI:106652	MP:0001337
MGI:2448528	HP:0007754
MGI:2448520	HP:0000709
MGI:105085	MP:0006310
MGI:2140885	MP:0009668
MGI:1196415	HP:0002861
MGI:1098269	HP:0009909
MGI:1924462	MP:0004842
MGI:1343178	HP:0003563
MGI:1345283	HP:0002040
MGI:1915254	HP:0000765
MGI:894659	HP:0100616
MGI:2144243	MP:0008867
MGI:107433	HP:0000768
MGI:108067	HP:0000317
MGI:1201374	HP:0030153
MGI:2179717	HP:0012588
MGI:109656	MP:0013179
MGI:96187	MP:0002823
MGI:1859328	MP:0010998
MGI:2442900	MP:0001408
MGI:1338034	HP:0100578
MGI:1913629	HP:0001942
MGI:1915549	HP:0002187
MGI:96529	MP:0008071
MGI:104678	MP:0005363
MGI:107683	HP:0004305
MGI:107494	MP:0008854
MGI:1914037	HP:0100753
MGI:106544	HP:0100324
MGI:2183102	HP:0002371
MGI:1916065	HP:0001342
MGI:1352744	HP:0011846
MGI:97362	MP:0003377
MGI:2386851	MP:0011317
MGI:3615275	MP:0001870
MGI:1914290	MP:0004026
MGI:1333876	HP:0030080
MGI:1916942	MP:0001860
MGI:2685817	MP:0004194
MGI:894806	HP:0002647
MGI:1918876	MP:0005016
MGI:98872	MP:0008273
MGI:1919684	HP:0006725
MGI:1921370	HP:0012197
MGI:97621	HP:0200024
MGI:1931086	HP:0012207
MGI:2653629	HP:0012245
MGI:2150150	MP:0012681
MGI:1921552	MP:0001401
MGI:2147848	HP:0000506
MGI:1923673	MP:0008913
MGI:2687281	MP:0005559
MGI:98759	MP:0002705
MGI:1298222	HP:0007269
MGI:1927070	MP:0004800
MGI:95676	MP:0010633
MGI:88117	HP:0001988
MGI:1889364	HP:0000252
MGI:1919348	MP:0011516
MGI:1915009	HP:0006721
MGI:109344	HP:0009794
MGI:2444516	HP:0100651
MGI:107549	MP:0001970
MGI:2152972	HP:0030350
MGI:87920	MP:0013374
MGI:1333825	MP:0000649
MGI:2443050	MP:0002842
MGI:1919035	MP:0000589
MGI:1338046	HP:0001067
MGI:96533	HP:0009371
MGI:1916784	MP:0001260
MGI:95753	MP:0005309
MGI:1913459	MP:0008866
MGI:95420	HP:0030127
MGI:1338042	MP:0009515
MGI:97775	HP:0003149
MGI:2387432	MP:0003674
MGI:2677212	HP:0002725
MGI:103071	MP:0000688
MGI:1350918	HP:0012048
MGI:1921262	MP:0011317
MGI:88005	HP:0006297
MGI:1916371	HP:0011452
MGI:1919030	HP:0030683
MGI:2686228	HP:0100273
MGI:98384	MP:0009439
MGI:1889383	HP:0001181
MGI:1924601	HP:0001901
MGI:1914797	HP:0000267
MGI:1930803	HP:0011459
MGI:3522133	MP:0005348
MGI:5295678	MP:0002169
MGI:5510732	MP:0002064
MGI:1923356	HP:0002863
MGI:2444315	HP:0002463
MGI:1351338	MP:0001475
MGI:88285	HP:0002156
MGI:1339713	MP:0010053
MGI:2143974	HP:0000558
MGI:87990	HP:0001924
MGI:102788	HP:0000863
MGI:2443511	HP:0040082
MGI:2443631	MP:0013172
MGI:1918730	HP:0001090
MGI:2443075	MP:0003663
MGI:104887	MP:0013502
MGI:2181192	MP:0004027
MGI:1920998	HP:0007302
MGI:2442786	HP:0006753
MGI:1194883	HP:0030693
MGI:109571	MP:0005103
MGI:1917352	HP:0000495
MGI:1891442	HP:0006770
MGI:1298211	MP:0005402
MGI:107732	MP:0006330
MGI:3639495	HP:0007430
MGI:1914289	MP:0008842
MGI:98215	MP:0010500
MGI:1330281	HP:0008677
MGI:1933947	MP:0009378
MGI:2685080	HP:0008066
MGI:106675	HP:0030684
MGI:1922118	MP:0003186
MGI:1289168	MP:0008562
